In 100 Gramm	kcal	 kjoule	 BE	 KH (g)	 F (g)	 EW (g)
Hähnchen, gegrillt (Chicken, Poulet, Hühnerfleisch, Broiler, Grillhähnchen, Brathähnchen, Brathühnchen, Brathendl, Grillhendl, Brathuhn, Grillhuhn)	228	952	0	0	14	25,5
Hähnchen-Geschnetzeltes, Hähnchengyros	130	544	0	1	4	21
Hähnchenkeulen, Hähnchenschenkel, Broilerkeule, Hähnchenschlegel, Hähnchenbollen, Hühnerbeine, Hühnerkeulen (Chicken, Poulet, Hühnerfleisch)	241	1006	0	0	15	26,5
Hähnchenschnitzel, natur (Chicken, Poulet, Hühnerfleisch)	220	926	0	0	11,5	27
Hähnchenschnitzel, paniert (Chicken, Poulet, Hühnerfleisch)	202	850	0,5	6,5	8,5	25
Hähnchenstreifen (Hühnerstreifen)	128	535	0	0,5	4	21
Halloumi, Halumi, Challúmi, Bratkäse, Grillkäse	495	2077	0	0	43	22
Hammel / Lamm, Filets (Lammfilet, Lammfleisch) (roh)	112	473	0	0	3,4	20,4
Hanfsamen, getrocknet (auch gemahlen als Hanfmehl)	567	2383	1	11,8	45	31,4
Harzer Käse, Harzer Roller, Handkäse, Mainzer Käse, Quargel, Korbkäse, Bauernkäse, Stangenkäse, Harzerkäse, Gelbkäse	133	661	0	0	0,7	30
Harzer Knüppel (Mettwurst)	399	1677	0,5	6	29	25
Hasenfleisch (roh)	113	479	0	0	3	21,6
Hasenfleisch, gegart (Hasenbraten)	163	685	0	0	4	30
Havarti Vollfettstufe	335	1405	0	0	25,5	23,2
Heilbutt, geräuchert (weißer Heilbutt, Räucherfisch)	143	601	0	0	4,1	25
Heilbutt, weiß (roh)	105	443	0	0	2,3	20
Hirschfleisch (roh)	112	474	0	0	3,3	20,6
Hirschgulasch mit Soße	131	448	0,5	3,5	3	21
Hirschsalami, Wildsalami	280	1177	0	0,2	21	20
Hirschschinken	128	537	0,5	3	2,5	22
Hirschsteak	128	536	0	0	4	21,5
Höhlenkäse, 50 % Fett in Trockenmasse	384	1812	0	1	30	24
Huhn, Brust ohne Haut (Hähnchenbrustfilet, Hühnchenbrustfilet, Hühnerbrustfilet, Hühnerfleisch) (roh)	145	607	0	0	6,2	22,2
Huhn, Leber (roh)	133	558	0	1,2	4,7	22
Jägerschnitzel	205	861	0	0,5	9	21
Jarlsberg, 45 % Fett in Trockenmasse	349	1449	0	0	26,9	26,7
Kängurufleisch, Känguruhackfleisch (Känguruhfleisch, Känguruhhackfleisch) (roh)	106	446	0	0,9	1,3	22
Käse-Krainer (Käsekrainer) (aus Schweinefleisch / Käse)	314	1317	0	0,2	23,5	23
Kalbfleisch, Filet (Kalbsfilets) (roh)	95	403	0	0	1,4	20,6
Kalbfleisch, Keule (roh)	115	484	0	0	3,6	20,7
Kalbfleisch, mager (roh)	92	392	0	0	0,8	21,3
Kalbfleisch, Rücken (Kalbsrücken) (roh)	107	452	0	0	2,6	20,9
Kalbsschnitzel (roh)	115	484	0	0	3,6	20,7
Kaninchenfleisch (roh)	152	636	0	0	7,6	20,8
Kassler Aufschnitt	204	853	0	0	10,1	28,2
Kassler, gepökelt, Kasslerbraten (Schweinefleisch)	151	633	0	0	7,5	20,9
Kaviar (Fischrogen, Fischeier)	244	1017	0	0	15,5	26,1
Kaviarcreme, Kaviarpaste	184	689	0	1,5	5	26,5
Kichererbsenmehl	287	1204	3,5	41,5	3,5	20
Kidneybohnen, reif	277	1177	4	44,1	1,4	22,1
Klippfisch, Stockfisch (Kabeljau getrocknet)	355	1489	0	0	2	80
Knurrhahn, Drachenkopf (roh)	135	566	0	0	5	21
Köfte (türkische Buletten, vergleichbar: Hackfleischbällchen, Gehacktesbällchen, Bouletten, Klopse, Hackplätzchen, Fleischpflanzerl, Fleischküchle, Frikandeln, Meatballs, Fleischlaibchen, Fleischknödel)	391	1624	0,5	2,1	31	22,4
Konzelmann's Kraftkornbrot, LowCarb-Brot, Eiweißbrot	355	1491	0,5	4,7	22,5	30,1
Kümmelsamen	375	1576	3	37	15	20
Kürbiskerne, schalenlos gewachsen bzw. geschält	560	2369	1,5	14,2	45,6	24,3
Lachsersatz in Öl, (abgetropft, kaltgeräucherter und rotgefärbter Seelachs, Räucherfisch)	158	665	0	0	8	20
Lachsfilet, geräuchert (Räucherlachs, kaltgeräuchert, Räucherfisch)	288	1186	0	0	19,4	28,4
Lachsfilet, Wildlachsfilet (roh)	202	843	0	0	13,6	20
Lachsschinken vom Schwein	245	1026	0	0	11,6	35,1
Lammschinken	166	697	0	2,5	5	26
Landjäger	472	1974	0	0	42,2	21,5
